Molecule Name,Molecule Concentration,HTS_0
M-000001,2.5,2.8853108882904053
M-000002,30.0,2.537696599960327
M-000001,20.0,1.8187713623046875
M-000002,5.0,1.439483642578125
M-000001,2.5,3.0268895626068115
M-000002,30.0,2.7034616470336914
M-000001,1.25,3.23796820640564
M-000002,5.0,1.7445881366729736
M-000001,1.25,3.2188560962677
M-000001,20.0,1.855987787246704
M-000001,5.0,2.794106960296631
M-000001,5.0,3.098187208175659
M-000001,5.0,2.131531238555908
M-000001,10.0,1.9819434881210327
M-000001,0.3125,2.595208168029785
M-000002,10.0,1.9511847496032715
M-000001,2.5,2.6423702239990234
M-000002,10.0,1.8460583686828613
M-000001,0.625,3.174248456954956
M-000002,20.0,2.6986151933670044
M-000002,2.5,1.1255319118499756
M-000002,0.625,2.2944369316101074
M-000001,5.0,2.29618501663208
M-000002,0.3125,2.42779541015625
M-000002,0.625,1.530871868133545
M-000002,30.0,2.637221932411194
M-000002,10.0,2.1920342445373535
M-000002,10.0,2.0852227210998535
M-000002,0.3125,1.7669568061828613
M-000001,10.0,2.460463523864746
M-000001,0.3125,3.246253728866577
M-000001,20.0,1.551365613937378
M-000001,20.0,1.7358028888702393
M-000002,1.25,2.059938430786133
M-000001,10.0,1.781212568283081
M-000002,10.0,2.134979248046875
M-000001,1.25,2.735074520111084
M-000002,0.3125,1.879058837890625
M-000002,2.5,1.5182852745056152
M-000002,20.0,2.515315532684326
M-000002,30.0,2.3519749641418457
M-000001,2.5,3.2908456325531006
M-000001,10.0,2.303717613220215
M-000001,0.3125,3.556036949157715
M-000002,30.0,2.353808403015136
M-000001,1.25,2.7854340076446533
M-000002,5.0,1.933875322341919
M-000001,2.5,2.9966821670532227
M-000001,20.0,1.7169891595840454
M-000001,1.25,3.116541862487793
M-000001,10.0,2.0715982913970947
M-000002,5.0,1.6188781261444092
M-000002,5.0,1.7986366748809814
M-000001,0.3125,3.2023425102233887
M-000001,2.5,2.501469135284424
M-000002,0.3125,1.7318615913391113
M-000001,30.0,1.857959985733032
M-000001,20.0,2.4615917205810547
M-000002,2.5,1.8242013454437256
M-000002,20.0,2.616816401481628
M-000002,5.0,1.6738836765289307
M-000001,1.25,3.36081337928772
M-000002,30.0,2.7669321298599243
M-000002,20.0,2.4080798625946045
M-000002,0.625,1.9005799293518066
M-000001,1.25,2.710893154144287
M-000002,0.3125,1.953920602798462
M-000001,0.625,2.8736891746521
M-000001,5.0,2.5088534355163574
M-000002,30.0,2.568302273750305
M-000001,0.625,3.1784698963165283
M-000001,1.25,2.929961442947388
M-000001,0.625,2.527573347091675
